id name x y
1 exit1 3 1
2 exit2 4 1
3 exit3 6 1
4 exit4 9 4
5 exit5 17 7
6 exit6 21 7
7 stair1 4 2
8 stair2 6 2
9 stair3 9 5
10 stair4 12 2
11 stair5 14 5
12 stair6 8 16
13 stair7 21 8
14 101 1 2
15 105 3 2
16 106 5 2
17 201 1 5
18 203 2 5
19 206 3 5
20 207 5 5
21 208 7 5
22 211 8 5
23 217 13 5
24 301 1 8
25 303 2 8
26 306 3 8
27 307 5 8
28 308 7 8
29 311 8 8
30 312 10 8
31 314 11 8
32 315 13 8
33 316 15 8
34 318 17 8
35 320 19 8
36 401 1 11
37 403 2 11
38 406 3 11
39 407 5 11
40 408 7 11
41 411 8 11
42 412 10 11
43 414 11 11
44 415 13 11
45 416 15 11
46 418 17 11
47 419 18 11
48 421 19 11
49 422 21 11
50 425 22 11
51 426 23 11
52 501 2 14
53 502 5 14
54 503 7 14
55 506 8 14
56 507 10 14
57 509 11 14
58 510 13 14
59 511 15 14
60 513 17 14
61 514 18 14
62 516 19 14
63 517 21 14
64 520 22 14
65 521 23 14
66 601 10 17
67 602 13 17
68 603 15 17
69 605 17 17
70 606 18 17
71 608 19 17
72 609 21 17
73 612 22 17
74 613 23 17
75 701 17 20
76 703 21 20
77 706 22 20
78 707 23 20
